target,location,location_name,truth_date,year_week,value,source,file_kind,snapshot_date,file_path
ARI incidence,BE,Belgium,2015-06-21,2015-W25,1169.7,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-06-28,2015-W26,902.8,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-07-05,2015-W27,874.6,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-07-12,2015-W28,834.0,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-07-19,2015-W29,777.2,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-07-26,2015-W30,628.2,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-08-02,2015-W31,647.3,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-08-09,2015-W32,561.4,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-08-16,2015-W33,571.3,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-08-23,2015-W34,643.9,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-08-30,2015-W35,687.4,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-09-06,2015-W36,793.0,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-09-13,2015-W37,1238.5,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-09-20,2015-W38,1813.6,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
