date,location,avian influenza,cluster_all,cold medicine,common cold,cough,dyspnea,fever,headache,influenza,influenza vaccine,nasal congestion,nausea,paracetamol,runny nose,sore throat,throat lozenge,virus
2016-09-04,BE,,91.9432971877172,99.3709113691656,635.3989277822676,934.3563819263263,154.374743927272,1218.529030948434,1360.2504235442636,318.2650830809385,,232.97176691386028,1213.4248757149765,879.9679503347523,110.06453618122607,534.9150857146009,0.0,1433.512884309687
2016-09-04,BG,,119.03427680350319,,627.1208462697417,1485.051064131462,255.24235141623646,187.99951091213393,1036.506256578716,407.6319744162239,,,873.0444773234983,521.4469848228165,535.0153138233132,244.90187260297878,,2007.4544275441722
2016-09-04,CH,,121.88794988250447,79.87261175555794,1162.3345755663524,1264.7620277293845,241.86350319881302,1864.041556944342,1746.5539360257999,778.8365832582231,,146.44751027109982,1366.8155589429018,969.6014087201486,52.06124546098783,600.1715219552731,,1746.3574799076885
2016-09-04,CY,,0.0,,301.17976595374796,1298.4287668272034,,1307.3653998409625,2211.6527905388193,0.0,,,176.851645604973,677.7485356083141,,0.0,,1067.6967974217926
2016-09-04,CZ,,105.6152284076312,,658.2730491244582,539.5494934924413,43.935503227029855,966.6237389906514,1324.365947899471,769.4609131862903,,39.03666703781314,1028.1742810569356,745.4632010766502,,619.3457371954983,,761.7287567681336
2016-09-04,DE,9.666240784201626,10.345403362135633,165.04918714582763,1243.6367745770747,1380.743884363274,349.06155964145205,1875.150865769128,1926.3450292787504,434.5037012985501,106.75918308981798,102.91803512978595,2003.3846936304367,443.790938118153,32.83053136707109,727.5616960833349,35.05248204139254,1804.6515227901805
2016-09-04,DK,,151.92376654551552,115.7435661631794,1178.4395017466816,522.055769735665,201.97947553486975,2021.934660089522,1488.8510311761893,693.9826739458522,,31.466716517478844,1071.6137595773944,961.5486878596053,,572.9731066666559,,1761.075606160274
2016-09-04,EE,,720.0762461823145,,912.3889396715153,403.2951708716063,,1864.3959881894866,1515.2259943140712,0.0,,,-542.3949859343576,1863.6189363011197,,,,2697.5360079416
2016-09-04,ES,14.12430044585849,0.0,35.826970723243484,508.9942688628566,750.026849361802,123.50279449317703,2491.727835661144,1226.459088957577,281.43535513606184,29.131294754527005,109.33008051859625,565.3640853358593,1124.1940395695888,18.197123754071523,289.0284418281782,,1817.275984505008
2016-09-04,FI,,200.66373315168505,287.95344386253157,3609.3812962260445,1213.2116259011254,342.61099642291447,2985.6181276913194,1681.726041861727,565.1187839685175,,,939.7249274285988,1451.2949899359774,,-64.38184415015348,,1216.607727134328
2016-09-04,FR,44.42541310476616,,12.98538669209066,563.5149940619589,1072.8243423455092,122.98947850263237,1240.3898206994324,812.1815007845759,367.83487965463127,28.14571991512008,165.63531850116118,752.1705873013682,1132.5736567904307,112.52159037502405,323.3342373081282,15.97616996843018,1173.4498293857148
2016-09-04,GB-ENG,17.095007792028948,0.0,121.54999358591512,1566.395630224633,1844.910565809318,267.12031379449326,870.6218734153756,2862.9969244670265,950.8578919191428,290.67112737245606,287.8834338345556,57.049602487314814,1567.98609921684,138.64374518586885,673.5486274711402,20.95956395652829,1557.905745647802
2016-09-04,GB-NIR,,71.58998597870229,,1867.2005539026577,1984.9216554726104,0.0,665.4877951723951,3052.81559056491,1076.5009466626586,,356.27802023429655,251.7648127252878,2049.5033668013275,,976.4080207735547,,1243.569752890237
2016-09-04,GB-SCT,,301.9762407470243,143.91607502906265,2681.6620358938253,2282.34023770512,264.2099001787023,1026.6270155290065,2480.070981932826,1250.3127017779439,,463.37513627157364,914.4368026098895,1858.6594087694446,227.10768996158598,1073.7414364284607,,1624.7723884587815
2016-09-04,GB-WLS,,234.99521779009768,,1607.7013636659194,2155.6997770565154,254.18795630257642,814.6349023246901,2662.7282640265494,849.430919622191,,332.82475696876213,852.3892274327459,1932.8170478380812,160.12846535314003,542.6365720323463,,1364.2402721602582
2016-09-04,GR,,51.15984427036889,,316.9562405471169,804.6571175822747,234.33834759568614,1237.9910003844368,882.1721895776878,225.49309824391165,,96.7781984168968,120.15448771115852,922.966571690837,,233.28319031603442,,914.7921889700572
2016-09-04,HR,,275.12646217824124,,963.0231215389435,1453.676450235892,,509.23992445096695,1484.1028114372857,580.1671385142826,,,1371.267069983108,628.296519711988,,345.8916463770374,,1750.4871026353487
2016-09-04,HU,,39.493794201604345,,869.540095770262,848.2707789249268,209.76677774918278,349.36731882581444,1604.7610125277436,215.84043456247986,,239.82584967512196,1109.0274602053082,462.98392013800935,125.44240394183873,607.0701962486517,,2252.5672921617174
2016-09-04,IE,,249.86977602364158,0.1661513106627161,1678.1606523119701,1936.8192967136551,305.8959825366205,906.0885871957795,2720.148245699597,1089.7044045848156,,384.1084925057567,138.63041584849202,1905.107192255296,251.5126972096188,792.9279109498108,,1452.2857531211534
2016-09-04,IS,,7985.031498856836,,,,,,,,,,,,,,,0.0
2016-09-04,IT,5.066610456064729,18.179366322386716,10.278939272589316,1212.968390201367,930.9209576079891,160.26117714685245,1931.6667442579944,1789.2562222717747,514.0332473971486,19.651091901470643,19.968407228990035,1202.8481207167838,1048.3246766527964,23.259981045226866,-3.9747878188689043,,1949.191737120406
2016-09-04,LT,,556.8259368640138,,711.0861211547558,1351.1113739443306,,370.0868314963303,894.0894787586446,283.66234749260434,,,964.1241703784137,802.5035533266969,,,,1880.9118372974992
2016-09-04,LU,,2255.4339520662666,,1367.6956518579523,384.10713833513626,,1519.110054174946,1784.5665261086947,,,,2338.1486882925474,0.0,,,,1630.026026956798
2016-09-04,LV,,1192.0113442747509,,1190.7813433621895,1478.3564425494747,,-342.1000664434819,686.2137712078893,164.35873035223224,,,789.5086717730436,629.1367733123867,,,,1406.5201831396207
2016-09-04,MT,,3655.169215412201,,1101.6111770739967,1703.2062163401054,,2211.3024507137197,1490.6731497201808,,,,,,,,,0.0
2016-09-04,NL,4.0607851636318735,,86.1220255707075,1198.387370318679,1191.1634635714822,593.5205059045713,1682.519201048328,2184.3762685988268,741.7864553382017,68.15477165770164,156.5197717333974,2205.940943251869,1788.2682148173685,6.190818396176468,1057.2124597663728,18.81244224713005,1609.8926800969537
2016-09-04,NO,,402.7287810657705,272.5394605361415,2341.955949958189,690.6633491532581,237.46880762025643,3024.1651621123206,1840.2413794737572,818.274050587163,,300.98598731299023,2116.4124042946232,1720.838283685423,,498.3899713387704,,2112.9488233644897
2016-09-04,PL,0.0,309.3756074677798,0.0,893.0445749785923,1309.3736788659817,225.19965422083658,1368.878295098613,1715.0137727629563,772.789442482838,24.1869297438647,140.15274156342156,679.4998449410144,582.0878305491585,,619.727134087369,,2036.9528610161608
2016-09-04,RO,,14.128316917487826,,1214.8275396280646,890.0719750856265,95.05136888060889,1529.8847122790435,1215.167920700632,446.64460827207154,,398.1218471198393,693.315475861607,899.4114657628485,0.02173601273393818,147.3900272144648,,1408.5171503706276
2016-09-04,SI,,326.1595936604536,,922.4791644409868,1424.4926616046846,,1554.0904725598439,1203.2187297294781,336.40762237164375,,,1219.8378293018995,762.0744273667602,,148.85320846691351,,1899.674152431144
2016-09-04,SK,,254.09095385781134,,903.2780843807426,32.0353562115756,,776.246547074485,1310.329030249216,696.5119381950337,,,741.8413996261496,764.2636257704505,,531.9844420692325,,1045.67835681254
2016-09-11,AT,,116.36768312953512,143.8720816624937,992.4104549502194,1160.4430464992174,314.1452553740038,1779.9660465882248,1790.2271052714214,501.0405733337184,,121.45880105096626,1388.9777408092964,662.1158393662059,,751.5614075575486,,1309.7968152378228
2016-09-11,BE,,179.73650260375632,47.358788664363594,714.4429349355269,965.1996997538272,145.1489430283267,1463.16857295943,1396.0737580824057,449.8846784771367,,254.90706541373177,1281.7624206531927,916.3221851435769,101.43760422484223,518.6180108704289,0.0,1391.6483473392404
2016-09-11,BG,,181.84883845836845,,542.8107825585685,1227.2879471554436,217.32534033287345,-21.94146073888146,933.0881859132979,365.3834658842091,,,783.2667978702088,568.1307734241744,537.2620121735595,222.3761685799597,,1979.0838102452465
2016-09-11,CH,,179.36800506264672,117.12129188511875,1302.530714174623,1323.5478592341026,301.19381344665885,1999.7022175379668,1912.2216298472063,790.3772073725131,,120.00837250335948,1424.6796771595632,1048.7757312366618,9.590244836289799,660.171653343403,,1850.9291236339395
2016-09-11,CY,,0.0,,1006.6172222778115,1331.7738254219612,,1401.7975480904115,1416.1214541752051,0.0,,,-45.05514111707896,1827.1167888200443,,0.0,,1200.0191062977706
2016-09-11,CZ,,155.41524120606874,,818.9754987726392,503.6295065533728,133.1982301720829,963.697939876139,1415.1615861864645,1114.9330316158455,,104.75817952825864,950.2663463463198,738.9770439860342,,665.9127744223243,,1068.273240208507
2016-09-11,DE,1.433065867503823,0.0,187.72414591812256,1307.5718358735107,1477.495454787989,334.8174098596431,1977.5984734904025,1766.955252502302,479.7719018295438,149.3852330883181,105.45807577044428,2006.5184179824278,506.02023630166843,23.642909941251354,783.5054359291669,34.73788162989594,1497.25604625758
2016-09-11,DK,,242.71730011533208,148.42651294637,1082.5179145243337,503.93660234211825,168.93374387542323,1875.7805289868472,1456.760937162088,754.2907788221139,,89.78399185116817,1158.8865593692606,1010.5155606935664,,604.5000472075151,,1646.066855314263
2016-09-11,EE,,1159.3905107440862,,1306.1855409562006,917.7476867192346,,2341.339149190723,1034.1740237867307,0.0,,,308.0456556239483,1592.9780111344385,,,,1859.162065474601
2016-09-11,ES,5.1261124684424395,0.0,38.138235308789966,732.3786759645968,777.7103239119103,130.72596412695412,1685.0895784533209,1263.6729346666664,415.6735553324699,44.7396858689533,117.30800530897766,512.8719002963466,1368.1617042271134,26.166463845930142,299.329684430454,,1753.28705907563
2016-09-11,FI,,260.30326744574717,282.81021970595043,2876.135651088285,1132.981968348669,433.0369474714927,2697.5400395813454,1650.277086432988,433.8611120701743,,,800.4681462377255,1285.3444875927012,,-28.11915029505451,,1562.4667734617535
2016-09-11,FR,37.87819337115089,,17.160168504505325,880.8896161281839,1223.6766431597998,143.3355000931453,1315.4983910091319,817.9471988666987,453.7240929550495,64.65358038081541,216.21941112081234,737.6052873771575,1249.7513602559632,149.4205502086437,414.8863708185811,15.679582462498463,1171.214903215733
2016-09-11,GB-ENG,20.77724940328414,12.273875661227889,134.4834367205393,1949.57743443915,2108.7765985999868,255.1429309211572,912.5350945751436,2738.5518140133618,1345.4623162799112,545.4374279594613,311.8774632905586,-36.374634666499446,1594.0981274395174,171.3822210728514,758.5842589288164,28.16326601727959,1609.5459558595956
2016-09-11,GB-NIR,,0.0,,2551.092839014047,2317.436945281109,243.21644437425587,704.881087700997,2840.1217011787703,995.734754770596,,489.51515363750275,-69.13206564195934,1947.442715786168,,1118.629927088216,,2294.837212423574
2016-09-11,GB-SCT,,423.760767204769,191.94502573172662,2913.653762073174,2465.82236009181,318.38949255315543,1124.8174787717296,2619.582531545128,1403.7433995665854,,341.1449926329632,1072.8026203763907,1883.3070800709127,262.9862643700795,1029.2588530907174,,1795.0162406947336
2016-09-11,GB-WLS,,568.2201690913089,,1940.1936945179777,2316.55074919428,348.08783533117514,641.2120035191302,2860.00532963076,1384.500807014529,,312.96028227174634,1086.8247017601386,1703.3037565494244,326.60172562131925,691.4805299139226,,1519.8489136678272
2016-09-11,GR,,84.44254320572463,,375.6274940848773,816.1324587831043,253.97008193922008,1394.0778102357694,920.6148535284159,289.80426634853484,,135.92148635264516,152.79271437153153,862.5858842830386,,242.75169158847766,,922.1408030066012
2016-09-11,HR,,315.67875728429755,,1072.9211865688092,1496.0359826020845,,501.07497481663347,1303.1631890810975,602.4910455662032,,,1459.5479179413987,602.8683266326982,,437.58218186955855,,2045.156679126143
2016-09-11,HU,,9.658858076397042,,1122.8828219404252,1015.7272412261533,233.70661474781286,432.17386286890496,1449.4842114088076,292.4144320491872,,238.40008435871817,1109.919724550975,446.3665201739915,159.40899453421684,738.502450074548,,2363.7914641005564
2016-09-11,IE,,411.0464385823466,145.0043504142458,2356.9624436443532,2341.0908665654742,280.84758058774463,876.1545094971684,2725.9118774955277,1430.8033109525022,,491.8067711409463,0.1910160722427463,1911.1645323618936,206.6119118922652,1205.1052065155786,,1875.3075707670864
2016-09-11,IS,,9603.854913219986,,,,,,,,,,,,,,,1873.880441696985
2016-09-11,IT,16.25425359233535,24.86238409113988,16.380089584475506,1297.6613099417677,942.3553043603918,129.50344426686598,1788.622637514277,1607.7904104960023,598.522422850452,29.317951486840876,9.444101491865357,1165.9199755412396,1021.8683080482435,37.45647589831205,9.703483202349076,,2125.069037014782
2016-09-11,LT,,701.7354801522089,,1249.883012804092,1639.6354226729732,,146.36638883503747,1014.313350346978,473.773694096971,,,1015.3516005607037,787.9469373412109,,,,2707.653571835369
2016-09-11,LU,,1550.3619941520103,,1488.1258193267356,91.37354501260708,,1850.510359642568,1408.9812684846302,,,,2880.658092368662,749.6181903513454,,,,1296.0243666895794
2016-09-11,LV,,1248.85981620505,,1403.8822728934824,1977.5276766397533,,482.253853210895,945.2324504872649,0.0,,,893.0525094156419,828.0277231386381,,,,2107.6095796085506
2016-09-11,MT,,3505.1884712889005,,1675.8152780483329,557.191103223112,,2110.865326148322,1690.0367733960009,,,,,,,,,0.0
2016-09-11,NL,0.0,,95.56085008570325,1342.3210252376198,1289.1061722362251,641.9584481862616,1868.7087487602616,2131.7716832103624,787.6626143553087,68.49701355625143,144.62988662226945,2238.791470054987,1856.7432207231966,19.685520792988527,1156.8334883969726,38.53423041310557,1699.1026061135783
2016-09-11,NO,,369.9360811634023,311.56099724108134,1992.4203353303874,672.1178307514476,260.56903261191667,3065.4613367714514,1806.759660497979,907.6745787750234,,302.49821592339936,2103.7289855539234,1630.949369990893,,490.7432762992988,,1987.7574922571384
2016-09-11,PL,0.03995180157561848,313.8745161994021,0.0,1290.7736461193733,1794.461367486704,213.97669083714797,1652.249259750526,1712.9365070105098,943.0062142940624,32.293598873646665,158.6365728078552,658.9214231994545,581.5651215926267,,769.0967980866477,,2210.897000458004
2016-09-11,RO,,85.40691152976174,,1313.3181752097312,974.8726845254089,92.60791508058531,1472.415139374483,1222.418890558984,439.20373241735393,,364.681655911656,677.8356800673367,685.9663232660564,53.36439125020179,157.34827865927554,,1816.463818286981
2016-09-11,SI,,522.1945494589294,,1199.9023051394242,1676.1236434314378,,1584.6284349980574,1352.6303027781173,443.2160422656912,,,1275.2923165739408,182.73303314800535,,41.835788226062455,,2161.173709635058
2016-09-11,SK,,281.0269462827022,,849.696038278719,285.1897420033201,,936.1904626485106,1244.1800601353364,648.2715077751589,,,735.1745721346846,742.4694952155204,,586.6757247220115,,1425.1242664301844
2016-09-18,AT,,140.23282909862965,192.75768606037627,1785.8830302812225,1369.447403887997,275.6828191186755,1895.4889719557018,1860.2353153649092,668.938892864103,,152.34169914819117,1371.594902026895,587.6412069457225,,1019.8497314023998,,1590.4912532581889
2016-09-18,BE,,201.3865152487184,65.39970360853712,1166.4507563063294,1078.5901148164098,173.87050511802912,1322.0688644185966,1516.437297310215,611.630695924629,,301.01191404973736,1304.7905727765396,867.754968764364,118.95974807031517,656.8539454037018,0.0,1408.797005464779
2016-09-18,BG,,201.70314739990732,,688.420370555483,1838.7381902508407,212.58261513605575,-40.43092087940295,889.7499748141902,506.75942511672565,,,791.175267363797,690.639408795309,859.3702488726835,275.85703149674634,,1618.6594833678344
2016-09-18,CH,,175.3794431265212,110.59303433810098,1571.491733385159,1425.2755222971712,288.3906485123313,1718.2250387136596,1830.6047780906474,926.1773519081896,,124.53988823113622,1351.3434505844327,1136.8925663854673,0.0,775.1627288492177,,1865.6459028930888
2016-09-18,CY,,861.8473328128226,,1110.7636379473433,1389.5558245258326,,1243.3982041090178,1692.805393557954,808.0697890636684,,,-116.93140564763132,1969.8159416256779,,686.7013191938518,,1912.76836568521
2016-09-18,CZ,,165.5691252869088,,1178.0846223110864,397.7564056244785,172.11303880741238,930.3925133179862,1468.3600776187127,1065.629070164792,,153.05903560338965,897.3286325135421,1057.1673047362913,,684.4099918434439,,831.654807881021
2016-09-18,DE,0.0,0.0,204.0518405701868,1963.2598635332554,1530.4846322056244,334.0938598917357,1913.049757277637,1910.3739710234724,613.9491526884736,264.12519679221884,127.4692048126009,2083.9399713415823,534.7297911771676,39.37760028952008,828.5390252566751,46.506589783677335,1517.006429241564
2016-09-18,DK,,326.23989674366976,177.28486892783863,1206.1899997173243,476.5087674177329,172.65091057248682,2000.585614902012,1577.6395637626767,964.7583932200833,,29.955659850502293,1190.8374055211402,886.2162455527473,,541.5139083924768,,1614.2655595006936
2016-09-18,EE,,1264.373944560802,,1371.8109862950014,1504.9266585580933,,2021.4166155325984,1459.0068357458774,596.1734793223196,,,65.67841985593566,1538.6353302782804,,,,2706.719588645163
2016-09-18,ES,0.37746067230826486,23.580830675291217,42.70769203308927,1088.9777664758622,954.9439120633592,128.7668715844211,1623.286234366023,1232.9994225032829,543.3827762103623,54.85530588050711,163.17491195399998,514.0956827344194,1581.221519566166,19.736023969651818,392.0044950665756,,1827.5431090460245
2016-09-18,FI,,343.97043246344475,310.1948330571276,2750.170948729261,987.7275756264537,389.0046762679706,2742.635725975966,1691.6416846944746,465.34054241469676,,,734.3776186394714,1441.5688789813175,,-127.62134294126065,,1734.285842219096
